parameters = 32_8_40_0.73_32_24_40_0.8
Threads number
0 threads,76,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
4 threads,11,10,9,9,9,10,10,10,10,10,11,10,10,10,11,11,10,11,11,11,
8 threads,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,
